title,neighbor_title,rank,wasserstein2_distance
40억 vs 1,너에게 하고 싶은 말,1,0.31246834993362427
40억 vs 1,환생소녀,2,0.3268895745277405
40억 vs 1,편지창조,3,0.3290919065475464
40억 vs 1,강도하 청춘 시리즈,4,0.3419342637062073
40억 vs 1,다정종합병원,5,0.3490450382232666
40억 vs 1,신농사직설,6,0.3706662058830261
40억 vs 1,보이지 않는 사람,7,0.3816455900669098
40억 vs 1,사랑을 피하여,8,0.3828548491001129
40억 vs 1,내 최애가 위험해,9,0.38813114166259766
40억 vs 1,포근한 그 남자,10,0.39475634694099426
강도하 청춘 시리즈,편지창조,1,0.2996380031108856
강도하 청춘 시리즈,40억 vs 1,2,0.3419342637062073
강도하 청춘 시리즈,신농사직설,3,0.3583252429962158
강도하 청춘 시리즈,너에게 하고 싶은 말,4,0.35894322395324707
강도하 청춘 시리즈,야수,5,0.3623128831386566
강도하 청춘 시리즈,고삼무쌍,6,0.36517155170440674
강도하 청춘 시리즈,보이지 않는 사람,7,0.3810105323791504
강도하 청춘 시리즈,다정종합병원,8,0.3837221562862396
강도하 청춘 시리즈,사랑을 피하여,9,0.39167332649230957
강도하 청춘 시리즈,환생소녀,10,0.393498033285141
고삼무쌍,야수,1,0.27377980947494507
고삼무쌍,신농사직설,2,0.3435181677341461
고삼무쌍,환생소녀,3,0.3438306748867035
고삼무쌍,내 최애가 위험해,4,0.3474653363227844
고삼무쌍,다정종합병원,5,0.35012930631637573
고삼무쌍,너에게 하고 싶은 말,6,0.35100990533828735
고삼무쌍,떨림,7,0.3632482588291168
고삼무쌍,강도하 청춘 시리즈,8,0.36517155170440674
고삼무쌍,사랑을 피하여,9,0.3684143126010895
고삼무쌍,만인지상,10,0.3767296373844147
관계의 우로보로스,포근한 그 남자,1,0.314287394285202
관계의 우로보로스,사랑을 피하여,2,0.3515465557575226
관계의 우로보로스,너에게 하고 싶은 말,3,0.37111353874206543
관계의 우로보로스,환생소녀,4,0.3724837899208069
관계의 우로보로스,어느날 절친이 남자가 되어버렸다,5,0.3740900158882141
관계의 우로보로스,내 최애가 위험해,6,0.3866623342037201
관계의 우로보로스,오빠야 누나야,7,0.3974345922470093
관계의 우로보로스,상자 속 1/36,8,0.3975597620010376
관계의 우로보로스,다정종합병원,9,0.41215309500694275
관계의 우로보로스,붉은실 월하,10,0.42422643303871155
낙인의 플레인워커,상아,1,0.5298172831535339
낙인의 플레인워커,떨림,2,0.5753414034843445
낙인의 플레인워커,청소하실 레옹?,3,0.5771702527999878
낙인의 플레인워커,마이 러블리 투투,4,0.5846090912818909
낙인의 플레인워커,오빠야 누나야,5,0.5925956964492798
낙인의 플레인워커,레벨업닥터 최기석,6,0.5941393971443176
낙인의 플레인워커,회귀했더니 가문이 망했다,7,0.5951359272003174
낙인의 플레인워커,붉은실 월하,8,0.6092990636825562
낙인의 플레인워커,고삼무쌍,9,0.6199557781219482
낙인의 플레인워커,야수,10,0.6259081363677979
내 최애가 위험해,환생소녀,1,0.2588953673839569
내 최애가 위험해,사랑을 피하여,2,0.2881666123867035
내 최애가 위험해,너에게 하고 싶은 말,3,0.2980312407016754
내 최애가 위험해,포근한 그 남자,4,0.29971230030059814
내 최애가 위험해,엘리트 공주님의 수석지침서,5,0.3148307800292969
내 최애가 위험해,어느날 절친이 남자가 되어버렸다,6,0.316742479801178
내 최애가 위험해,청소하실 레옹?,7,0.3240983188152313
내 최애가 위험해,악녀에게 의리가 어디 있어,8,0.3321983814239502
내 최애가 위험해,오빠야 누나야,9,0.34171757102012634
내 최애가 위험해,마이 러블리 투투,10,0.34646928310394287
너에게 하고 싶은 말,환생소녀,1,0.2205781489610672
너에게 하고 싶은 말,포근한 그 남자,2,0.27722597122192383
너에게 하고 싶은 말,내 최애가 위험해,3,0.2980312407016754
너에게 하고 싶은 말,상자 속 1/36,4,0.305693119764328
너에게 하고 싶은 말,붉은실 월하,5,0.3089918792247772
